,제품명,키워드
0,[비건인증] 아리얼 스트레스 릴리빙 미셀라 립앤아이 리무버 300ml,"['재구매', '저자극', '세정력 보통', '무난']"
1,[비건인증] 포인트앤 딥 클린 올인원 클렌징 티슈 80매,"['무난', '세정력', '민감', '순함', '매일 사용']"
2,[비건인증/무색소] 포인트앤 딥 클린 립앤아이 리무버 200ml 더블기획,"['무난', '이상적', '무색소', '재구매', '깔끔하게 지워짐']"
3,[비건인증/펌핑타입] 더샘 내추럴 컨디션 탄산 클렌징워터 500ml,"['세정력', '시원', '대량', '매일 사용', '무난']"
4,[화해1위] 포인트앤 딥멜팅 소이 클렌징 밤 90ml,"['유화', '촉촉', '블랙헤드', '피지', '환절기', '저자극', '화이트헤드', '순함']"
5,[비건인증] 포인트앤 피지 쏙 베지 클렌징 오일 230ml,"['블랙헤드', '화이트헤드', '복합성', '유화', '무난']"
6,[비건인증/무색소] 포인트앤 딥 클린 립앤아이 리무버 150ml,"['휴대용', '세정력 보통', '사용감', '순함', '스며듦']"
7,[화해1위] 포인트앤 딥 클린 립 앤 아이 리무버 롱 패드 88매(+7매증정),"['재구매', '촉촉', '도톰', '저자극', '수정화장', '부드러움', '세정력']"
8,[비건인증] 키스미 아이 젠틀 오프 립앤아이 리무버,"['세정력 보통', '저자극', '부드러움', '재구매', '무난']"
9,[화해1위] 포인트앤 딥 클린 립앤아이 리무버 롱패드 88매,"['재구매', '촉촉', '세정력', '도톰', '저자극', '부드러움']"
10,[무색소/비건인증] 포인트앤 딥 클린 립앤아이 리무버 300ml,"['무난', '유분감 적음', '산뜻', '무색소', '저자극', '세정력', '매일 사용']"
11,클라뷰 리얼 비건 퀵 클렌징 패드 50매,"['사용감', '편백수', '어성초', '순함', '세정력']"
12,숌 화이트 비건 클렌징 밤 60ml 더블 기획,"['수부지', '순함', '세정력', '모공관리', '유화']"
13,숌 소프트 비건 클렌징밤 60ml 더블 기획,"['세정력 보통', '재구매', '순함', '자극 보통', '촉촉']"
14,[화해1위] 이즈앤트리 참마 비건 밀크 클렌저 220ml 리필 기획 (+리필100ml),"['촉촉', '간편', '사용감', '여드름', '매일 사용']"
15,[NEW] 코스노리 마이크로 액티브 비건 클렌징 오일 200ml,"['순함', '무난', '촉촉', '유화', '세정력', '블랙헤드', '지복합성']"
16,[NEW] 코스노리 마이크로 액티브 비건 립앤아이 리무버 100ml,"['무난', '세정력 보통', '저자극']"
17,[단독기획]메이크프렘 세이프 미 릴리프 모이스처 비건 클렌징오일 리필기획 (210ml+100ml 증정),"['세정력', '거품', '재구매', '촉촉', '블랙헤드', '유화', '순함', '저자극', '각질관리']"
18,[화해1위] 이즈앤트리 참마 비건 밀크 클렌저 220ml,"['촉촉', '간편', '사용감', '여드름', '매일 사용']"
19,[2023어워즈]메이크프렘 세이프 미 클렌징밀크 200ml 어워즈 한정 기획 (괄사 증정),"['순함', '여드름', '무난', '부드러움', '재구매', '유화', '민감성', '촉촉', '사용감']"
20,비건이펙트 클린 앤 글로우 청보리 LHA 젤 클렌저 205ml 기획 (+토너패드 4EA 증정),"['요철완화', '각질제거', '재구매', '풀향', '화이트헤드', '비립종']"
21,아워 비건 어성초 시카 클렌징 폼 120ml,"['무난', '매일 사용', '보습', '자작나무수액', '미네랄', '촉촉', '순함', '아침용']"
22,[단독기획]메이크프렘 클린비건 클렌징밀크 리필기획(200ml+100ml),"['촉촉', '순함', '부드러움', '데일리 메이크업']"
23,[비건토너] 스킨푸드 미나리 토너 300ml,"['수부지', '좁쌀', '토너팩', '지성', '순함', '물토너', '진정', '재구매']"
24,비건이펙트 클린 앤 글로우 LHA 발효 녹두 앰플 50ml,"['블랙헤드', '피지', '각질제거', '촉촉', '민감성', '녹두성분', '진정', '피부개선', '저자극', '발림성']"
25,비건이펙트 클린 앤 글로우 수분초 크림 50g,"['촉촉', '진정', '저자극', '순함', '부드러움', '수분', '민감성', '대나무줄기추출물']"
26,[비건파우더] 스킨푸드 미나리 스매싱 파우더 15ml,"['진정', '재구매', '여드름', '저녁', '미나리', '자극적']"
27,아워 비건 어성초 시카 크림 100ml,"['수분감', '환절기', '건성', '촉촉', '진정', '재구매', '순함']"
28,[비건/잡티케어] 스킨푸드 유자씨 잡티 맑음 세럼 50ml,"['보습막', '촉촉함', '미백관리', '수분감', '건성', '여름', '저자극', '흔적완화']"
29,아워 비건 어성초 98 시카 세럼 100ml,"['재구매', '무난', '대용량', '저렴', '무겁지 않음', '수부지', '여름', '레이어링']"
30,아워 비건 어성초 시카 토너 400ml,"['어성초', '순함', '진정', '보습', '토너팩', '트러블', '민감성', '여드름성', '동물실험안함', '가성비', '분리수거하기좋음']"
31,보나쥬르 비건 그린티 워터크림 100ml,"['촉촉', '수분감', '광', '재구매', '저자극', '속건조', '보습', '환절기', '가성비', '유튜브후니언추천', '가벼운', '친구추천', '속건조템', '복합성', '민감건성', '순함']"
32,코스노리 비건 아보카도 아이크림 (본품30ml+15ml 증정)',"건조할때쓰기좋음, 눈시림적음, 화해높은순위, 촉촉함, 무난템, 겨울템"
33,쏘내추럴 비건 메이크업 캄 픽서 100ml',"순함, 냄새역함, 수분감, 디렉터파이추천템, 자연친화적, 고정력안좋음, 무너짐별로, 진정효과, 촉촉함, 지저분한무너짐"
34,클라뷰 리얼 비건 저분자 콜라겐 탄력 앰플 30ml' ,"미백효과, 보습효과, 속건조개선, 번들번들하지않음, 목에도바름, 인생앰플, 환절기템, 재구매템"
35,[대용량] 나인위시스 비건 하이드라 앰플 토너 500ml',"촉촉함, 순함, 쿨링효과, 토너팩, 보습감, 대용량, 수분팩, 예민피부, 화잘먹템"
36,클라뷰 리얼 비건 저분자 콜라겐 탄력 크림 50ml',"속건조개선, 촉촉함, 민감성, 악건성, 앰플과사용시시너지, 환절기템"
37,허블룸 콤부차 비건 콜라겐 크림 50ml',"민감성, 촉촉함, 발림성, 흡수성, 속건조개선, 안티에이징, 유화이님추천템, 슬로우에이징, 무거운제형, 부담스러움 "
38,[화해 1위] 나인위시스 비건 화이트 톤업 크림 50ml 더블기획',"톤업효과(미약한), 촉촉하지않음, 무기자차, 무난템, 지인추천의사"
39,[화해 1위] 나인위시스 비건 화이트 톤업 크림 50ml',"톤업효과(미약한), 촉촉하지않음, 흡수잘됨, 순함, 재구매의사x, 무난템, 지속력좋음"
40,[1+1/단독기획] 나인위시스 비건 하이드라 앰플 수딩 크림 50ml 더블기획',"저녁보다아침템, 촉촉함, 민감성, 가벼운발림성, 무난템, 속건조해결템, 진정"
41,"비얼라우 무화과,부활초 비건 올인원 200g+30g 기획'","순함, 감각적디자인과색감, 환경템, 무화과부활초, 올인원제품, 육준서광고템, 남친선물용, 화사해짐"
42,[선물추천] 달바 시그니처 오리지널 & 프리미엄 비건 미스트 세럼 기프트 세트',"제품력우수, 보습력, 저자극, 재구매템, 진정, 촉촉함, 가성비, 데일리템"
43,비욘드 엔젤아쿠아 보습장벽크림 150ml 1+1기획 (비건)',"촉촉함, 수부지비추, 보습감, 냄새이상, 재구매의사, 지성한텐무거움, 순함, 사계절템, 가격저렴"
44,비욘드 엔젤아쿠아 수분 진정 토너 500ml (비건)',"히알루론산, 전호추출물, 지성추천, 팩대용, 닥토템, 예민성비추"
45,비욘드 엔젤아쿠아 워터 에센스 인 로션 200ml (비건 에센스인로션)',"순함, 수분감, 엘지생활건강, 무난템, 재구매템, 촉촉함, 성공템, 보습, 건성비추천, 한달사용리뷰"
46,비욘드 엔젤아쿠아 수분 진정 크림 150ml 1+1 기획 (비건)',"극건성비추, 수분감, 촉촉함, 부드러운발림성, 착한가격, 애용템(재구매템), 순함"
47,"비얼라우 콤부차,레몬 비건 올인원 200g+30g 기획'","촉촉함, 플렉시블효과, 올인원, 편리함, 수분감, 보습감, 저자극, 미백효과, 차현승광고템, 자연성분템"
48,비욘드 엔젤아쿠아 스킨케어 2종세트(비건)',"촉촉함, 진정효과, 텍스처, 화장솜묻혀바름, 올인원제품, 순함, 여름, 저렴"
49,빌리프 프라블럼 솔루션 비건 스팟 젤 15ml',"각질제거, 블랙헤드제거, 화이트헤드제거, 여드름성, 화농성 여드름 효과"
50,더랩바이블랑두 엑스퍼트루 모공탄력 세럼 30ml 기획 (+샤셰 4매 증정)',"모공축소, 지성피부, 일시적효과, 화잘먹, 순함"
51,[이동욱PICK]더마펌 수분보습 진정 크림 50ml+50ml 기획',"재구매의사, 열감올라옴,연보라색제형, 보습, 미백주름관리용, 촉촉, 건조하지않음"
52,[이동욱PICK] 더마펌 수딩 리페어 토너 R4 200ml+200ml 기획',"유튜버홀리추천템, 정착템, 팩토템, 냉장보관, 여름템, 물토너, 무난템"
53,[이동욱PICK]더마펌 흔적끝 토닝 세럼 30ml+30ml 기획 (+마스크팩 1매증정)',"안색개선, 보들보들, 흔적완화, 보습, 저자극, 바쿠치올, 미백효과"
54,플리프 시카-알로에 카밍 올인원 로션 (200ml+50ml)',"유분적음, 아들, 남친, 동생, 재구매의사, 저자극, 모세혈관확장증치료, 여행용, 올인원, 남친선물용, 건성"
55,플리프 시카-알로에 밸런싱 올인원 로션 (본품200ml+50ml 추가 증정)',"항상쓰는템, 남편, 남친, 순함, 촉촉함, 올인원, 재구매의사, 무난템, 복합성, 모공여드름, 민감성"
56,비건이펙트 클린 앤 글로우 청보리 퍼스트 에센스 200ml',"미백효과, 민감성, 촉촉함, 모공축소, 화잘먹, 재구매의사, 지성피부, 복합성지성에겐그닥"
57,비욘드 엔젤아쿠아 시카크림 150ml 1+1기획(비건)',"건조할때쓰기좋음, 민감성, 건성, 시카, 순함, 촉촉함, 쟁여템"
58,[민가든PICK] 오어스 비건 민들레 히알루론 각질 토너패드 60매',"화장잘먹음(화잘먹), 부드러운사용감, 여드름성피부, 재구매의사, 촉촉함(오래감)"
59,[앨리스 소희PICK][비건진정대왕패드] 제이준 잇 비건 편백 시카 카밍 패드 50매 (+20매 증정기획)',"대왕패드, 순함, 재구매의사, 쉬운 사용성, 시원촉촉, 가격착함, 인생패드"
60,[앨리스 소희 PICK][비건수분대왕패드] 제이준 잇 비건 탠지 워터리 패드 50매',"촉촉함(수분충전), 패드재질만족, 저자극, 큰패드->사용감좋음, 끈적촉촉, 재구매의사"
61,메이크프렘 컴포트미 모스카밍 비건 마스크 1매',"진정, 촉촉함(수분충전), 순함(저자극), 화장잘먹음, 붉어짐완화"
62,빌리프 프라블럼 솔루션 비건 토너 패드 150ml/70매',"수분충전, 각질제거, 데일리템, 홍조개선, 위생적, 광채, 순함(저자극)"
63,브링그린 티트리 시카 포어 클레이팩 120g',"리뉴얼-지우기힘듬 / 모델링팩보다 약한 효과 / 진정 , 저자극(슈렉팩 대비), 모공효과(맨들맨들), 발림성, 재구매"
64,[정해인 PICK] 더마티르 순 로즈마리 에센스 패드 70매,"항산화진정, 고급, 부드러움, 촉촉, 광, 깔끔함"
65,코스알엑스 퓨어핏 시카 카밍 트루 시트 마스크 10매입,"에센스, 진정효과, 시카성분, 밀착력, 촉촉, 환해짐"
66,[피지쓱싹] 스킨푸드 미나리 클리어 패드 60매,"순함, 촉촉, 트러블효과, 여름용, 진정효과"
67,더랩바이블랑두 그린 플라보노이드 진정 패드 리필 기획 (90+90매 리필),"촉촉, 민감성, 겨울용, 진정효과, 수분감감, 촉촉, 순함"
68,라운드랩 자작나무 수분감 패드 (본품80매+10매 추가 증정),"순함, 촉촉, 부드러움, 진정효과, 약산성, 속당김"
69,라운드랩 1025 독도 패드 기획(70매+10매 증정),"촉촉, 화장잘됨, 진정효과, 순함, 각질관리, 자극없음"
70,아임프롬 [피그 스크럽/허니] 마스크 120g 2종 택1,"보들, 촉촉, 각질관리, 보습"
71,키노닉스 양배추 각질 진정 패드 증정 기획 (70매+10매),"여름용, 닦토, 저자극, 시원, 진정효과, 각질관리"
72,[보령머드팩]비알머드 리커버리 머드 마스크 110ml,"보들, 각질관리, 매끈, 촉촉, 환해짐"
73,코스알엑스 포어리스 모공패드 70매,"각질관리, 모공관리"
74,파티온 리얼핏 콜라겐 퍼밍 마스크 1매,"촉촉, 저렴, 수분감, 쫀쫀"
75,[민들레패드] 시초 단델리온 래디언스 세럼 패드 90매,"촉촉, 부드러움, 민들레, 매끈"
76,[단독 90매 대용량] 코스알엑스 원스텝 패드 90매 3종 중 택1,"촉촉, 각질관리, 화장잘됨"
77,[온라인 단독기획] 브링그린 티트리시카포어코팩 10매,"블랙헤드제거, 개운, 피지제거"
78,[NEW]바이오힐보 판테셀 리페어시카 퀵수딩마스크 30매,"겨울용, 시원, 친환경적, 화장잘됨, 촉촉, 밀착력, 수분감"
79,[디렉터파이 PICK] 에스네이처 수퍼 아쿠아겔 오아시스 앰플 마스크 1매,"촉촉, 수분감"
80,믹순 병풀 마스크팩 1매입,"진정효과, 밀착력, 보습"
81,믹순 비피다 마스크팩 1매입,"촉촉, 밀착력, 환해짐"
82,파티온 리얼핏 어성초 카밍 마스크 1매,"진정효과, 촉촉"
83,[NEW]앱솔룹 원샷 포어 클리어 패드 60매,"미백, 주름개선"
84,아워 비건 어성초 시카 마스크 1매,"수분감, 저렴, 순함, 촉촉"
85,비건이펙트 클린 앤 글로우 청보리 퍼스트 LHA 토너 패드 60매,"촉촉, 화장잘됨, 개선효과"
86,메이크프렘 컴포트미 버치아쿠아 비건 마스크 1매,"밀착력, 수분감, 데일리"
87,메이크프렘 컴포트미 오트모이스트 비건 마스크 1매,"촉촉, 쫀득, 밀착력, 부드러움"
88,[앨리스 소희 PICK][비건수분감진정] 제이준 잇 비건 탠지 페이셜 마스크 1매,"화장잘됨, 밀착력, 앰플넉넉, 수분감"
89,[단독선런칭] 오하이오후 리쥬스 애플민트 100g,"진정효과, 보습, 보들보들"
90,마녀공장 비피다 바이옴 앰플 마스크 피부장벽 10매,"앰플넉넉, 보들보들, 순함, 촉촉, 시원함, 화장잘됨"
91,[매끈결패드] 시초 딜라이트 토너패드 80매,"촉촉, 화장잘됨, 깔끔함, 허브향, 수분감, 저자극"
92,더랩바이블랑두 올리고 히알루론산 쏙수분감 마스크팩 10매입,"촉촉, 순함, 보습"
93,비욘드 엔젤아쿠아 소프트 페이셜 필링젤 100ml 1+1 디즈니 에디션,"각질관리, 자극적, 부드러움"
94,플리프 시카-알로에 카밍 올인원 로션 200ml (트러블 피부용),"피부결정리, 보습, 환절기, 여드름피부"
95,[민가든PICK/단독기획] 오어스 비건 민들레 히알루론 각질 토너패드 60매 (+60매 리필증정 기획),"여드름피부, 닦토, 화장잘됨, 촉촉"
